,NVDA (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,182.97,189.33,182.9,189.21,"174,873,621"
12/22/2025,183.92,184.16,182.35,183.69,"129,064,369"
12/19/2025,176.67,181.45,176.34,180.99,"324,925,927"
12/18/2025,174.53,176.15,171.82,174.14,"176,096,001"
12/17/2025,176.1,176.13,170.31,170.94,"222,775,464"
12/16/2025,176.26,178.49,174.9,177.72,"148,588,098"
12/15/2025,177.94,178.42,175.03,176.29,"164,775,636"
12/12/2025,181.11,182.82,174.62,175.02,"204,274,918"
12/11/2025,180.28,181.32,176.62,180.93,"182,136,641"
12/10/2025,184.97,185.48,182.04,183.78,"162,785,370"
12/9/2025,185.56,185.72,183.32,184.97,"144,719,705"
12/8/2025,182.64,188,182.4,185.55,"204,378,106"
12/5/2025,183.89,184.66,180.91,182.41,"143,971,098"
12/4/2025,181.62,184.52,179.96,183.38,"167,364,857"
12/3/2025,181.08,182.45,179.11,179.59,"165,138,023"
12/2/2025,181.76,185.66,180,181.46,"182,632,230"
12/1/2025,174.76,180.3,173.68,179.92,"188,130,955"
11/28/2025,179.01,179.29,176.5,177,"121,332,776"
11/26/2025,181.63,182.91,178.24,180.26,"183,852,010"
11/25/2025,174.91,178.16,169.55,177.82,"320,600,271"
11/24/2025,179.49,183.5,176.48,182.55,"256,618,335"
11/21/2025,181.24,184.56,172.93,178.88,"346,926,153"
11/20/2025,195.95,196,179.85,180.64,"343,504,849"
11/19/2025,184.79,187.86,182.83,186.52,"247,246,436"
11/18/2025,183.38,184.8,179.65,181.36,"213,598,877"
11/17/2025,185.97,189,184.32,186.6,"173,628,858"
11/14/2025,182.86,191.01,180.58,190.17,"186,591,856"
11/13/2025,191.05,191.44,183.85,186.86,"207,423,074"
11/12/2025,195.72,195.89,191.13,193.8,"154,935,263"
11/11/2025,195.16,195.42,191.3,193.16,"176,483,327"
11/10/2025,195.11,199.94,193.79,199.05,"198,897,134"
11/7/2025,184.9,188.32,178.91,188.15,"264,942,255"
11/6/2025,196.42,197.62,186.38,188.08,"223,029,778"
11/5/2025,198.77,202.92,194.65,195.21,"171,350,332"
11/4/2025,203,203.97,197.93,198.69,"188,919,320"
11/3/2025,208.08,211.34,205.56,206.88,"180,267,285"
10/31/2025,206.45,207.97,202.07,202.49,"179,802,178"
10/30/2025,205.15,206.16,201.41,202.89,"178,864,443"
10/29/2025,207.98,212.19,204.78,207.04,"308,829,564"
10/28/2025,193.05,203.15,191.91,201.03,"297,986,180"
10/27/2025,189.99,192,188.43,191.49,"153,452,704"
10/24/2025,183.84,187.47,183.5,186.26,"131,296,677"
10/23/2025,180.42,183.03,179.79,182.16,"111,363,718"
10/22/2025,181.14,183.44,176.76,180.28,"162,249,552"
10/21/2025,182.79,182.79,179.8,181.16,"124,240,168"
10/20/2025,183.13,185.2,181.73,182.64,"128,544,711"
10/17/2025,180.18,184.1,179.75,183.22,"173,135,217"
10/16/2025,182.23,183.28,179.77,181.81,"179,723,309"
10/15/2025,184.8,184.87,177.29,179.83,"214,450,482"
10/14/2025,184.77,184.8,179.7,180.03,"205,641,380"
10/13/2025,187.97,190.11,185.96,188.32,"153,482,755"
10/10/2025,193.51,195.62,182.05,183.16,"268,774,359"
10/9/2025,192.23,195.3,191.06,192.57,"182,997,234"
10/8/2025,186.57,189.6,186.54,189.11,"130,168,861"
10/7/2025,186.23,189.06,184,185.04,"140,088,008"
10/6/2025,185.5,187.23,183.33,185.54,"157,678,104"
10/3/2025,189.19,190.36,185.38,187.62,"137,596,896"
10/2/2025,189.6,191.05,188.06,188.89,"136,805,821"
10/1/2025,185.24,188.14,183.9,187.24,"173,844,901"
9/30/2025,182.08,187.35,181.48,186.58,"236,981,032"
9/29/2025,180.43,184,180.32,181.85,"193,063,455"
9/26/2025,178.17,179.77,174.93,178.19,"148,573,732"
9/25/2025,174.48,180.26,173.13,177.69,"191,586,733"
9/24/2025,179.77,179.78,175.4,176.97,"143,564,116"
9/23/2025,181.97,182.42,176.21,178.43,"192,559,552"
9/22/2025,175.3,184.55,174.71,183.61,"269,637,001"
9/19/2025,175.77,178.08,175.18,176.67,"237,182,143"
9/18/2025,173.98,177.1,172.96,176.24,"191,763,313"
9/17/2025,172.64,173.2,168.41,170.29,"211,843,817"
9/16/2025,177,177.5,174.38,174.88,"140,737,775"
9/15/2025,175.67,178.85,174.51,177.75,"147,061,559"
9/12/2025,177.77,178.6,176.45,177.82,"124,911,026"
9/11/2025,179.68,180.28,176.48,177.17,"151,159,274"
9/10/2025,176.64,179.29,175.47,177.33,"226,852,020"
9/9/2025,169.09,170.98,166.74,170.76,"157,548,392"
9/8/2025,167.55,170.96,167.35,168.31,"163,769,133"
9/5/2025,168.03,169.03,164.07,167.02,"224,441,435"
9/4/2025,170.57,171.86,169.41,171.66,"141,670,144"
9/3/2025,171.06,172.41,168.88,170.62,"164,424,873"
9/2/2025,170,172.38,167.22,170.78,"231,164,853"
8/29/2025,178.11,178.15,173.15,174.18,"243,257,873"
8/28/2025,180.82,184.47,176.41,180.17,"281,787,824"
8/27/2025,181.98,182.49,179.1,181.6,"235,518,949"
8/26/2025,180.06,182.39,178.81,181.77,"168,688,186"
8/25/2025,178.35,181.91,176.57,179.81,"163,012,789"
8/22/2025,172.61,178.59,171.2,177.99,"172,789,427"
8/21/2025,174.85,176.9,173.81,174.98,"140,040,850"
8/20/2025,175.17,176,168.8,175.4,"215,142,725"
8/19/2025,182.43,182.5,175.49,175.64,"185,229,219"
8/18/2025,180.6,182.94,180.59,182.01,"132,007,959"
8/15/2025,181.88,181.9,178.04,180.45,"156,602,161"
8/14/2025,179.75,183.02,179.46,182.02,"129,553,959"
8/13/2025,182.62,183.97,179.35,181.59,"179,871,724"
8/12/2025,182.96,184.48,179.46,183.16,"145,729,202"
8/11/2025,182.05,183.84,180.25,182.06,"138,323,191"
8/8/2025,181.55,183.3,180.4,182.7,"123,396,679"
8/7/2025,181.57,183.88,178.8,180.77,"151,878,365"
8/6/2025,176.33,179.9,176.25,179.42,"137,192,265"
8/5/2025,179.62,180.26,175.9,178.26,"156,407,621"
8/4/2025,175.16,180.2,174.52,180,"148,174,609"
8/1/2025,174.09,176.54,170.89,173.72,"204,528,985"
7/31/2025,182.9,183.3,175.93,177.87,"221,685,446"
7/30/2025,176.51,179.89,176.04,179.27,"174,312,208"
7/29/2025,177.96,179.38,175.02,175.51,"154,077,512"
7/28/2025,174.02,177,173.97,176.75,"140,023,521"
7/25/2025,173.61,174.72,172.96,173.5,"122,316,792"
7/24/2025,172.44,173.83,171.3,173.74,"128,984,628"
7/23/2025,169.53,171.26,167.97,170.78,"154,082,197"
7/22/2025,171.34,171.39,164.58,167.03,"193,114,327"
7/21/2025,172.75,173.38,171,171.38,"123,126,136"
7/18/2025,173.64,174.25,171.26,172.41,"146,456,416"
7/17/2025,172.02,174.16,170.83,173,"160,841,119"
7/16/2025,171.06,171.75,168.9,171.37,"158,831,509"
7/15/2025,171.19,172.4,169.2,170.7,"230,627,350"
7/14/2025,165.37,165.49,162.02,164.07,"136,975,754"
7/11/2025,163.72,167.89,163.47,164.92,"193,633,263"
7/10/2025,164.32,164.5,161.61,164.1,"167,704,075"
7/9/2025,161.22,164.42,161.16,162.88,"183,656,443"
7/8/2025,159.33,160.22,158.39,160,"138,133,025"
7/7/2025,158.2,159.31,157.34,158.24,"140,138,975"
7/3/2025,158.37,160.98,157.77,159.34,"143,716,055"
7/2/2025,152.98,157.6,152.97,157.25,"171,224,111"
7/1/2025,156.29,157.2,151.49,153.3,"213,143,621"
6/30/2025,158.4,158.66,155.96,157.99,"194,580,316"
6/27/2025,156.04,158.71,155.26,157.75,"263,234,539"
6/26/2025,155.98,156.72,154,155.02,"198,145,746"
6/25/2025,149.27,154.45,149.26,154.31,"269,146,471"
6/24/2025,145.56,147.96,145.5,147.9,"187,566,121"
6/23/2025,142.5,144.78,142.03,144.17,"154,308,941"
6/20/2025,145.45,146.2,142.65,143.85,"242,956,157"
6/18/2025,144.01,145.65,143.12,145.48,"161,494,121"
6/17/2025,144.49,145.22,143.78,144.12,"139,108,000"
6/16/2025,143.35,146.18,143.2,144.69,"183,133,666"
6/13/2025,142.48,143.58,140.86,141.97,"180,820,565"
6/12/2025,141.97,145,141.85,145,"162,364,991"
6/11/2025,144.61,144.99,141.87,142.83,"167,694,044"
6/10/2025,142.69,144.29,141.53,143.96,"155,881,897"
6/9/2025,143.19,145,141.94,142.63,"185,114,494"
6/6/2025,142.51,143.27,141.51,141.72,"153,986,153"
6/5/2025,142.17,144,138.83,139.99,"232,410,759"
6/4/2025,142.19,142.39,139.55,141.92,"167,120,819"
6/3/2025,138.78,142,137.95,141.22,"225,578,783"
6/2/2025,135.49,138.12,135.4,137.38,"197,663,116"
5/30/2025,138.72,139.62,132.92,135.13,"333,170,851"
5/29/2025,142.25,143.49,137.91,139.19,"370,615,167"
5/28/2025,136.03,137.25,134.79,134.81,"304,021,146"
5/27/2025,134.15,135.66,133.31,135.5,"192,953,613"
5/23/2025,130,132.68,129.16,131.29,"198,821,324"
5/22/2025,132.23,134.25,131.55,132.83,"187,343,954"
5/21/2025,133.06,137.4,130.59,131.8,"270,608,738"
5/20/2025,134.29,134.58,132.62,134.38,"161,514,247"
5/19/2025,132.39,135.87,132.39,135.57,"193,154,571"
5/16/2025,136.22,136.35,133.46,135.4,"226,542,451"
5/15/2025,134.3,136.3,132.66,134.83,"226,632,563"
5/14/2025,133.2,135.44,131.68,135.34,"281,180,830"
5/13/2025,124.98,131.22,124.47,129.93,"330,430,105"
5/12/2025,121.97,123,120.28,123,"225,023,345"
5/9/2025,117.35,118.23,115.21,116.65,"132,972,189"
5/8/2025,118.25,118.68,115.85,117.37,"198,428,122"
5/7/2025,113.05,117.68,112.28,117.06,"207,827,821"
5/6/2025,111.48,114.74,110.82,113.54,"158,525,621"
5/5/2025,112.91,114.67,112.66,113.82,"133,163,241"
5/2/2025,114.18,115.4,113.37,114.5,"190,194,778"
5/1/2025,113.08,114.94,111.3,111.61,"236,121,507"
4/30/2025,104.47,108.92,104.08,108.92,"235,044,611"
4/29/2025,107.67,110.2,107.44,109.02,"170,444,263"
4/28/2025,109.69,110.37,106.02,108.73,"207,708,479"
4/25/2025,106.85,111.92,105.73,111.01,"251,064,672"
4/24/2025,103.48,106.54,103.11,106.43,"220,815,041"
4/23/2025,104.52,104.8,102.02,102.71,"247,525,971"
4/22/2025,98.78,99.81,97.28,98.89,"241,004,784"
4/21/2025,98.77,99.44,95.04,96.91,"288,501,136"
4/17/2025,104.45,104.47,100.05,101.49,"292,517,465"
4/16/2025,104.55,106.79,100.45,104.49,"397,016,870"
4/15/2025,110.97,113.62,110.5,112.2,"228,966,900"
4/14/2025,114.11,114.29,109.07,110.71,"264,705,049"
4/11/2025,108.5,111.55,107.48,110.93,"313,417,265"
4/10/2025,109.37,110.86,99.15,107.57,"437,812,353"
4/9/2025,98.89,115.1,97.53,114.33,"612,918,336"
4/8/2025,103.81,105.85,94.46,96.3,"476,243,392"
4/7/2025,87.46,101.75,86.62,97.64,"611,041,347"
4/4/2025,98.91,100.13,92.11,94.31,"532,273,810"
4/3/2025,103.51,105.63,101.6,101.8,"338,769,412"
4/2/2025,107.29,111.98,106.79,110.42,"220,601,243"
4/1/2025,108.52,110.2,106.47,110.15,"222,614,034"
3/31/2025,105.13,110.96,103.65,108.38,"299,212,653"
3/28/2025,111.49,112.87,109.07,109.67,"229,872,549"
3/27/2025,111.35,114.45,110.66,111.43,"236,902,055"
3/26/2025,118.73,118.84,112.71,113.76,"296,431,667"
3/25/2025,120.55,121.29,118.92,120.69,"167,447,198"
3/24/2025,119.88,122.22,119.34,121.41,"228,452,534"
3/21/2025,116.94,117.99,115.42,117.7,"266,498,528"
3/20/2025,116.55,120.2,116.47,118.53,"248,829,749"
3/19/2025,117.27,120.45,115.68,117.52,"273,426,225"
3/18/2025,118,119.02,114.54,115.43,"299,686,944"
3/17/2025,122.74,122.89,118.03,119.53,"255,501,481"
3/14/2025,118.61,121.88,118.15,121.67,"277,593,455"
3/13/2025,117.03,117.76,113.79,115.58,"299,033,131"
3/12/2025,114.12,116.76,112.88,115.74,"323,857,454"
3/11/2025,106.99,112.24,104.77,108.76,"354,865,692"
3/10/2025,109.9,111.85,105.46,106.98,"366,487,363"
3/7/2025,111.25,113.48,107.56,112.69,"341,755,468"
3/6/2025,113.53,115.35,110.22,110.57,"321,181,861"
3/5/2025,117.58,118.28,114.51,117.3,"284,337,886"
3/4/2025,110.65,119.31,110.11,115.99,"398,163,305"
3/3/2025,123.51,123.7,112.28,114.06,"411,381,373"
2/28/2025,118.02,125.09,116.4,124.92,"389,091,145"
2/27/2025,135,135.01,120.01,120.15,"443,175,846"
2/26/2025,129.99,133.73,128.49,131.28,"322,553,814"
2/25/2025,129.98,130.2,124.44,126.63,"271,428,711"
2/24/2025,136.56,138.59,130.08,130.28,"251,381,137"
2/21/2025,140.04,141.46,134.03,134.43,"228,217,585"
2/20/2025,140.03,140.66,136.79,140.11,"143,903,583"
2/19/2025,139.51,141.36,137.22,139.23,"167,536,006"
2/18/2025,141.27,143.44,137.93,139.4,"219,176,627"
2/14/2025,136.48,139.25,135.5,138.85,"195,479,557"
2/13/2025,131.56,136.5,131.17,135.29,"197,429,975"
2/12/2025,130.02,132.24,129.08,131.14,"160,278,552"
2/11/2025,132.58,134.48,131.02,132.8,"178,902,379"
2/10/2025,130.09,135,129.96,133.57,"216,989,086"
2/7/2025,129.22,130.37,125,129.84,"228,186,298"
2/6/2025,127.42,128.77,125.21,128.68,"251,483,574"
2/5/2025,121.76,125,120.76,124.83,"263,110,629"
2/4/2025,116.96,121.2,116.7,118.65,"256,550,040"
2/3/2025,114.75,118.57,113.01,116.66,"371,235,677"
1/31/2025,123.78,127.85,119.19,120.07,"390,372,899"
1/30/2025,123.1,125,118.1,124.65,"392,925,469"
1/29/2025,126.5,126.89,120.05,123.7,"467,120,640"
1/28/2025,121.81,129,116.25,128.99,"579,666,350"
1/27/2025,124.8,128.4,116.7,118.42,"818,830,895"
1/24/2025,148.37,148.97,141.88,142.62,"234,657,635"
1/23/2025,145.05,147.23,143.72,147.22,"155,915,549"
1/22/2025,144.66,147.79,143.67,147.07,"237,651,395"
1/21/2025,139.16,141.83,137.09,140.83,"197,748,985"
1/17/2025,136.69,138.5,135.46,137.71,"201,188,760"
1/16/2025,138.64,138.75,133.49,133.57,"209,235,583"
1/15/2025,133.65,136.45,131.29,136.24,"185,217,338"
1/14/2025,136.05,136.38,130.05,131.76,"195,590,485"
1/13/2025,129.99,133.49,129.51,133.23,"204,808,914"
1/10/2025,137.45,139.92,134.22,135.91,"207,602,514"
1/8/2025,142.58,143.95,137.56,140.11,"227,349,948"
1/7/2025,153.03,153.13,140.01,140.14,"351,782,174"
1/6/2025,148.59,152.16,147.82,149.43,"265,377,359"
1/3/2025,140.01,144.9,139.73,144.47,"229,322,478"
1/2/2025,136,138.88,134.63,138.31,"198,247,166"
12/31/2024,138.03,138.07,133.83,134.29,"155,659,211"
12/30/2024,134.83,140.27,134.02,137.49,"167,734,700"
12/27/2024,138.55,139.02,134.71,137.01,"170,582,603"
12/26/2024,139.7,140.85,137.73,139.93,"116,519,090"
12/24/2024,140,141.9,138.65,140.22,"105,156,989"
12/23/2024,136.28,139.79,135.12,139.67,"176,053,506"
12/20/2024,129.81,135.28,128.22,134.7,"306,528,553"
12/19/2024,131.76,134.03,129.55,130.68,"209,719,210"
12/18/2024,133.86,136.7,128.28,128.91,"277,444,533"
12/17/2024,129.09,131.59,126.86,130.39,"259,410,263"
12/16/2024,134.18,134.4,130.42,132,"237,951,130"
12/13/2024,138.94,139.6,132.54,134.25,"231,514,881"
12/12/2024,137.08,138.44,135.8,137.34,"159,211,393"
12/11/2024,137.36,140.17,135.21,139.31,"184,905,192"
12/10/2024,139.01,141.82,133.79,135.07,"210,020,888"
12/9/2024,138.97,139.95,137.13,138.81,"189,308,625"
12/6/2024,144.6,145.7,141.31,142.44,"188,505,573"
12/5/2024,145.11,146.54,143.95,145.06,"172,621,180"
12/4/2024,142,145.79,140.29,145.14,"231,224,295"
12/3/2024,138.26,140.54,137.95,140.26,"164,413,965"
12/2/2024,138.83,140.45,137.83,138.63,"171,682,777"
11/29/2024,136.78,139.35,136.05,138.25,"141,863,156"
11/27/2024,135.01,137.22,131.8,135.34,"226,370,912"
11/26/2024,137.7,139.3,135.67,136.92,"190,287,654"
11/25/2024,141.99,142.05,135.82,136.02,"344,941,875"
11/22/2024,145.93,147.16,141.1,141.95,"236,406,154"
11/21/2024,149.35,152.89,140.7,146.67,"400,946,570"
11/20/2024,147.41,147.56,142.73,145.89,"309,871,654"
11/19/2024,141.32,147.13,140.99,147.01,"227,834,912"
11/18/2024,139.5,141.55,137.15,140.15,"221,865,993"
11/15/2024,144.87,145.24,140.08,141.98,"250,132,869"
11/14/2024,147.64,149,145.55,146.76,"194,463,301"
11/13/2024,149.07,149.33,145.9,146.27,"191,903,267"
11/12/2024,146.78,149.65,146.01,148.29,"198,634,738"
11/11/2024,148.68,148.85,143.57,145.26,"182,325,620"
11/8/2024,148.77,149.77,146.26,147.63,"175,665,830"
11/7/2024,146.39,148.93,146.17,148.88,"207,323,303"
11/6/2024,142.96,146.49,141.96,145.61,"242,043,945"
11/5/2024,137.45,140.37,137.33,139.91,"160,537,373"
11/4/2024,137.21,138.96,135.57,136.05,"187,528,173"
11/1/2024,134.7,137.31,134.57,135.4,"207,127,838"
10/31/2024,137.6,137.61,132.11,132.76,"270,039,641"
10/30/2024,139.54,140.33,136.81,139.34,"179,418,082"
10/29/2024,140.29,142.26,138.9,141.25,"157,593,634"
10/28/2024,143,143.14,140.05,140.52,"173,586,745"
10/25/2024,140.93,144.13,140.8,141.54,"205,122,109"
10/24/2024,140.82,141.35,138.46,140.41,"172,354,888"
10/23/2024,142.03,142.43,137.46,139.56,"285,930,038"
10/22/2024,142.91,144.42,141.78,143.59,"226,311,589"
10/21/2024,138.13,143.71,138,143.71,"264,554,514"
10/18/2024,138.67,138.9,137.28,138,"176,090,184"
10/17/2024,139.34,140.89,136.87,136.93,"306,435,921"
10/16/2024,133.98,136.62,131.58,135.72,"264,879,720"
10/15/2024,137.87,138.57,128.74,131.6,"377,831,021"
10/14/2024,136.47,139.6,136.3,138.07,"232,347,668"
10/11/2024,134.01,135.78,133.66,134.8,"170,209,474"
10/10/2024,131.91,135,131,134.81,"242,311,337"
10/9/2024,134.11,134.52,131.38,132.65,"246,191,612"
10/8/2024,130.26,133.48,129.42,132.89,"285,722,485"
10/7/2024,124.99,130.64,124.95,127.72,"346,250,233"
10/4/2024,124.94,125.04,121.83,124.92,"244,465,552"
10/3/2024,120.92,124.36,120.34,122.85,"277,117,973"
10/2/2024,116.44,119.38,115.14,118.85,"221,845,887"
10/1/2024,121.77,122.44,115.79,117,"302,094,485"
9/30/2024,118.31,121.5,118.15,121.44,"227,053,651"
9/27/2024,123.97,124.03,119.26,121.4,"271,009,175"
9/26/2024,126.8,127.67,121.8,124.04,"302,582,868"
9/25/2024,122.02,124.94,121.61,123.51,"284,692,948"
9/24/2024,116.52,121.8,115.38,120.87,"354,966,772"
9/23/2024,116.55,116.99,114.86,116.26,"206,228,490"
9/20/2024,117.06,118.62,115.39,116,"382,462,428"
9/19/2024,117.35,119.66,117.25,117.87,"293,506,438"
9/18/2024,115.89,117.7,113.22,113.37,"310,318,937"
9/17/2024,118.17,118.8,114.83,115.59,"231,925,876"
9/16/2024,116.79,118.18,114.36,116.78,"248,772,308"
9/13/2024,119.08,119.96,117.6,119.1,"238,358,328"
9/12/2024,116.84,120.79,115.38,119.14,"367,100,496"
9/11/2024,109.39,117.19,107.42,116.91,"441,422,370"
9/10/2024,107.81,109.4,104.95,108.1,"268,283,736"
9/9/2024,104.88,106.55,103.69,106.47,"273,912,015"
9/6/2024,108.04,108.15,100.95,102.83,"413,638,098"
9/5/2024,104.99,109.65,104.76,107.21,"306,850,696"
9/4/2024,105.41,113.27,104.12,106.21,"372,470,291"
9/3/2024,116.01,116.21,107.29,108,"477,155,100"
8/30/2024,119.53,121.75,117.22,119.37,"333,751,583"
8/29/2024,121.36,124.43,116.71,117.59,"453,023,305"
8/28/2024,128.12,128.33,122.64,125.61,"448,101,115"
8/27/2024,125.05,129.2,123.88,128.3,"303,134,573"
8/26/2024,129.57,131.26,124.37,126.46,"331,964,672"
8/23/2024,125.86,129.6,125.22,129.37,"323,230,332"
8/22/2024,130.02,130.75,123.1,123.74,"376,189,076"
8/21/2024,127.32,129.35,126.66,128.5,"257,883,572"
8/20/2024,128.4,129.88,125.89,127.25,"300,087,415"
8/19/2024,124.28,130,123.42,130,"318,333,577"
8/16/2024,121.94,125,121.18,124.58,"302,589,872"
8/15/2024,118.76,123.24,117.47,122.86,"318,086,673"
8/14/2024,118.53,118.6,114.07,118.08,"339,246,407"
8/13/2024,112.44,116.23,111.58,116.14,"312,646,660"
8/12/2024,106.32,111.07,106.26,109.02,"325,559,870"
8/9/2024,105.64,106.6,103.43,104.75,"290,844,157"
8/8/2024,102,105.5,97.52,104.97,"391,910,023"
8/7/2024,107.81,108.8,98.69,98.91,"411,440,423"
8/6/2024,103.84,107.71,100.55,104.25,"409,012,089"
8/5/2024,92.06,103.41,90.69,100.45,"552,842,375"
8/2/2024,103.76,108.72,101.37,107.27,"482,027,464"
8/1/2024,117.53,120.16,106.81,109.21,"523,462,326"
7/31/2024,112.9,118.34,110.88,117.02,"473,174,182"
7/30/2024,111.52,111.99,102.54,103.73,"486,833,274"
7/29/2024,113.69,116.28,111.3,111.59,"248,152,068"
7/26/2024,116.19,116.2,111.58,113.06,"293,399,073"
7/25/2024,113.04,116.63,106.3,112.28,"460,067,019"
7/24/2024,119.17,119.95,113.44,114.25,"327,776,884"
7/23/2024,122.78,124.69,122.1,122.59,"173,910,983"
7/22/2024,120.35,124.07,119.86,123.54,"258,068,943"
7/19/2024,120.35,121.6,117.37,117.93,"217,223,800"
7/18/2024,121.85,122.4,116.56,121.09,"320,979,530"
7/17/2024,121.35,121.85,116.72,117.99,"390,086,189"
7/16/2024,128.44,129.04,124.58,126.36,"214,769,515"
7/15/2024,130.56,131.39,127.18,128.44,"208,326,164"
7/12/2024,128.26,131.92,127.22,129.24,"252,680,535"
7/11/2024,135.75,136.15,127.05,127.4,"374,782,738"
7/10/2024,134.03,135.1,132.42,134.91,"248,978,569"
7/9/2024,130.35,133.82,128.65,131.38,"287,020,820"
7/8/2024,127.49,130.77,127.04,128.2,"237,677,322"
7/5/2024,127.38,128.85,125.68,125.83,"214,176,689"
7/3/2024,121.66,128.28,121.36,128.28,"215,748,955"
7/2/2024,121.13,123.41,121.03,122.67,"218,373,969"
7/1/2024,123.47,124.84,118.83,124.3,"284,885,534"
6/28/2024,124.58,127.71,122.75,123.54,"315,516,740"
6/27/2024,124.1,126.41,122.92,123.99,"252,571,693"
6/26/2024,126.13,128.12,122.6,126.4,"362,975,918"
6/25/2024,121.2,126.5,119.32,126.09,"425,787,456"
6/24/2024,123.24,124.46,118.04,118.11,"476,060,866"
6/21/2024,127.12,130.63,124.3,126.57,"655,484,664"
6/20/2024,139.8,140.76,129.52,130.78,"517,768,425"
6/18/2024,131.14,136.33,130.69,135.58,"294,335,054"
6/17/2024,132.99,133.73,129.58,130.98,"288,504,444"
6/14/2024,129.96,132.84,128.32,131.88,"309,320,376"
6/13/2024,129.39,129.8,127.16,129.61,"260,704,537"
6/12/2024,123.06,126.88,122.57,125.2,"299,595,001"
6/11/2024,121.77,122.87,118.74,120.91,"222,551,158"
6/10/2024,120.37,123.1,117.01,121.79,"314,162,650"
6/7/2024,119.77,121.69,118.02,120.89,"412,385,800"
6/6/2024,124.05,125.59,118.32,121,"664,696,190"
6/5/2024,118.37,122.45,117.47,122.44,"528,401,780"
6/4/2024,115.72,116.6,114.05,116.44,"403,324,010"
6/3/2024,113.62,115,112,115,"438,391,760"
5/31/2024,112.52,112.72,106.94,109.63,"613,262,500"
5/30/2024,114.65,115.82,109.66,110.5,"487,350,330"
5/29/2024,113.05,115.49,110.9,114.83,"557,441,930"
5/28/2024,110.24,114.94,109.88,113.9,"652,727,890"
5/24/2024,104.45,106.48,103,106.47,"429,493,670"
5/23/2024,102.03,106.32,101.52,103.8,"835,065,280"
5/22/2024,95.46,96.02,93.25,94.95,"548,647,990"
5/21/2024,93.6,95.4,93.18,95.39,"328,946,460"
5/20/2024,93.75,95.2,93.44,94.78,"318,764,460"
5/17/2024,94.37,94.74,91.81,92.48,"359,691,030"
5/16/2024,94.91,95.82,94.1,94.36,"323,951,820"
5/15/2024,92.47,94.86,91.6,94.63,"417,735,450"
5/14/2024,89.6,91.65,88.93,91.36,"296,507,080"
5/13/2024,90.48,91,88.53,90.4,"289,680,170"
5/10/2024,90.3,91.4,89.23,89.88,"335,325,410"
5/9/2024,90.53,91.07,88.23,88.75,"378,012,680"
5/8/2024,89.48,91.19,89.42,90.41,"325,721,020"
5/7/2024,91.1,91.78,89.01,90.55,"437,341,610"
5/6/2024,89.39,92.22,89.05,92.14,"376,202,550"
5/3/2024,87.79,89.28,87.04,88.79,"398,340,720"
5/2/2024,84.45,86.24,83.2,85.82,"377,897,540"
5/1/2024,85.08,86,81.25,83.04,"559,863,170"
4/30/2024,87.24,88.82,86.3,86.4,"363,708,700"
4/29/2024,87.6,87.99,85.27,87.76,"388,970,760"
4/26/2024,83.82,88.33,83.39,87.74,"551,010,780"
4/25/2024,78.87,83.32,78.22,82.63,"424,640,730"
4/24/2024,83.95,84.08,79.18,79.68,"512,207,530"
4/23/2024,80.77,82.77,80.26,82.42,"438,559,370"
4/22/2024,78.1,80.07,76.4,79.52,"596,340,510"
4/19/2024,83.15,84.32,75.61,76.2,"875,198,000"
4/18/2024,84.97,86.19,82.4,84.67,"447,260,340"
4/17/2024,88.34,88.78,83.95,84.04,"495,399,510"
4/16/2024,86.43,88.12,86.06,87.41,"370,453,020"
4/15/2024,89.1,90.61,85.93,86,"443,076,950"
4/12/2024,89.7,90.17,87.53,88.19,"426,804,790"
4/11/2024,87.42,90.74,86.93,90.62,"431,637,270"
4/10/2024,83.93,87.4,83.71,87.04,"431,928,530"
4/9/2024,87.44,87.64,83.02,85.35,"503,547,350"
4/8/2024,88.7,88.83,86.73,87.13,"283,220,000"
4/5/2024,86.87,88.48,85.93,88.01,"399,678,460"
4/4/2024,90.41,90.63,85.88,85.91,"434,964,920"
4/3/2024,88.48,90.37,88.4,88.96,"370,066,550"
4/2/2024,88.45,90.09,87.62,89.45,"433,063,550"
4/1/2024,90.3,92.23,89.2,90.36,"452,441,490"
3/28/2024,90,91.3,89.19,90.36,"435,212,270"
3/27/2024,93.11,93.24,89.12,90.25,"586,067,230"
3/26/2024,95.85,96.38,92.5,92.56,"513,647,580"
3/25/2024,93.94,96.77,93.51,95,"552,136,080"
3/22/2024,91.14,94.78,90.83,94.29,"586,719,360"
3/21/2024,92.3,92.65,90.41,91.44,"480,372,310"
3/20/2024,89.8,90.41,88.22,90.37,"479,062,790"
3/19/2024,86.7,90.54,85.01,89.4,"672,171,270"
3/18/2024,90.39,92.41,87.09,88.46,"668,975,930"
3/15/2024,86.93,89.55,86.26,87.84,"642,086,160"
3/14/2024,89.58,90.65,86.6,87.94,"602,318,160"
3/13/2024,91.05,91.5,88.44,90.89,"635,712,890"
3/12/2024,88.05,91.96,86.15,91.91,"668,075,150"
3/11/2024,86.43,88.8,84.17,85.77,"678,364,120"
3/8/2024,95.14,97.4,86.51,87.53,"1,142,269,060"
3/7/2024,90.16,92.77,89.6,92.67,"608,119,160"
3/6/2024,88.02,89.72,87.03,88.7,"582,520,300"
3/5/2024,85.27,86.1,83.42,85.96,"520,639,300"
