,CRWV (NASD),,,,
10/24/2025,127.1,133.06,125.99,132.55,"21,235,994"
10/23/2025,120.09,124.9,118.26,123.34,"14,707,264"
10/22/2025,123.46,124.57,114.17,121.53,"26,660,116"
10/21/2025,123.91,126.25,119.31,125.06,"24,392,793"
10/20/2025,137.9,138.31,126.71,127.06,"25,428,477"
10/17/2025,137.37,137.6,129.04,136.87,"30,264,649"
10/16/2025,141.44,150.4,137.81,141.74,"36,104,180"
10/15/2025,139.53,141.48,134.42,139.24,"20,652,941"
10/14/2025,138.17,139.4,130.3,134.06,"25,696,077"
10/13/2025,141.86,144,136.01,141.62,"20,760,620"
10/10/2025,146.06,153.2,137.04,138.43,"44,473,972"
10/9/2025,139.77,143.69,136.49,143.08,"24,633,297"
10/8/2025,131.98,140.8,131.23,139.98,"34,398,798"
10/7/2025,136.16,138.51,126.36,128.83,"26,822,542"
10/6/2025,137.35,144.33,133.78,133.85,"26,763,610"
10/3/2025,139,140.55,130.8,134.79,"23,405,642"
10/2/2025,140.5,140.65,134.53,138,"21,567,601"
10/1/2025,135.93,137.61,132.27,137.05,"22,675,047"
9/30/2025,136.21,142.67,133.22,136.85,"71,176,750"
9/29/2025,120.71,126.5,120.5,122.52,"22,532,248"
9/26/2025,127.92,129.38,119.5,120.34,"29,939,282"
9/25/2025,130.08,138.95,125.8,126.66,"48,895,644"
9/24/2025,132.82,133.8,124.06,133.4,"26,409,243"
9/23/2025,135.71,136,127.04,130.89,"29,126,438"
9/22/2025,124.69,136.48,119.5,133.23,"40,323,417"
9/19/2025,122.05,129.39,122,124.86,"47,567,714"
9/18/2025,122.38,122.88,118.2,121.39,"21,873,392"
9/17/2025,119.48,121.84,114.57,120.86,"24,420,736"
9/16/2025,121.47,125.76,115.12,118.75,"29,506,841"
9/15/2025,120.85,121.88,116.11,120.47,"37,532,703"
9/12/2025,113.93,115.31,104.07,111.96,"32,550,357"
9/11/2025,117.9,118.64,112.13,112.69,"25,179,328"
9/10/2025,110.03,124.9,109.01,117.14,"70,126,969"
9/9/2025,99.89,103.89,97.05,100.22,"40,286,652"
9/8/2025,88.92,96.17,88.64,93.55,"24,705,188"
9/5/2025,90.02,90.44,84.4,89.09,"18,448,517"
9/4/2025,88.48,89.72,85.21,87.48,"17,805,121"
9/3/2025,93.75,93.79,88.76,89.88,"18,944,025"
9/2/2025,96.63,97.13,90.7,93.34,"33,402,460"
8/29/2025,100.9,103.08,96.32,103.04,"24,208,320"
8/28/2025,100.64,105.5,99.9,102.79,"45,313,150"
8/27/2025,93.95,97.5,92.65,96.93,"32,747,405"
8/26/2025,91.82,94.77,90.32,91.39,"16,042,721"
8/25/2025,94,94,90,92.38,"14,803,443"
8/22/2025,91.09,98.6,88.58,93.99,"34,000,406"
8/21/2025,94.02,95.84,90.65,90.79,"27,261,778"
8/20/2025,90.16,91.65,85.26,91.52,"32,919,787"
8/19/2025,96.44,96.5,88.65,92.89,"32,158,872"
8/18/2025,102.21,103.91,96.7,96.8,"33,761,102"
8/15/2025,95.9,102,94.7,99.97,"52,661,059"
8/14/2025,115.26,116.88,98.81,99.51,"51,195,165"
8/13/2025,132.98,134.5,117.6,117.76,"37,157,592"
8/12/2025,135.83,148.8,130.43,148.75,"28,929,798"
8/11/2025,134.8,141.5,130.18,139.78,"19,430,289"
8/8/2025,128.05,130.98,121.7,129.55,"17,159,705"
8/7/2025,115.48,122.2,115.02,121.08,"17,715,871"
8/6/2025,110.5,112,105.56,110.24,"7,794,309"
8/5/2025,105.23,114.25,104.5,111.84,"11,902,823"
8/4/2025,106.68,107.58,101.6,106.01,"9,034,851"
8/1/2025,104.9,109.3,103.11,104.14,"13,055,033"
7/31/2025,112.63,119.59,111.5,114.13,"24,987,827"
7/30/2025,108.76,109.5,100.8,102.89,"11,052,032"
7/29/2025,108.84,113.44,106.3,108.74,"10,513,259"
7/28/2025,115,116.8,109.6,110.28,"9,628,063"
7/25/2025,119.93,119.93,114.23,115.62,"10,297,510"
7/24/2025,125.75,126.32,120,120,"7,629,928"
7/23/2025,132,132.12,125.38,126.05,"6,691,174"
7/22/2025,125.93,132.4,122.7,129.77,"9,407,275"
7/21/2025,126.53,134.3,124.11,124.91,"11,231,230"
7/18/2025,132.52,132.52,122.19,123.02,"12,863,607"
7/17/2025,141.37,141.37,131.34,132.21,"12,204,698"
7/16/2025,143.15,146.99,139.02,143.04,"10,875,592"
7/15/2025,144.24,146.75,140.05,140.59,"17,316,206"
7/14/2025,130.38,135.67,129.99,132.38,"11,432,878"
7/11/2025,132.93,136.36,125.67,125.84,"15,721,936"
7/10/2025,152.8,153.5,136.01,138.29,"16,519,457"
7/9/2025,155.2,156.47,149.7,153.05,"9,572,204"
7/8/2025,159.35,160.42,148.75,151.45,"12,024,644"
7/7/2025,161.18,163.66,155.26,159.7,"12,665,695"
7/3/2025,155,166.22,153.55,165.2,"10,442,374"
7/2/2025,152.81,158.72,151.26,151.77,"8,458,199"
7/1/2025,162.78,162.78,154.9,155.94,"10,913,502"
6/30/2025,163.31,173.35,160.46,163.06,"13,731,846"
6/27/2025,160.13,167.88,158.2,159.99,"17,437,622"
6/26/2025,164.15,165.99,152.89,158.08,"17,009,603"
6/25/2025,178.02,180.25,157.9,159.5,"17,830,203"
6/24/2025,176.37,183.98,171.23,172.62,"18,343,573"
6/23/2025,183.32,183.53,159,173.68,"26,820,738"
6/20/2025,171.82,187,168.85,183.58,"31,258,711"
6/18/2025,173.33,176.75,165.55,170,"19,866,363"
6/17/2025,156.98,175.38,155.8,171.93,"32,381,794"
6/16/2025,148.6,158.5,143.48,158.5,"19,757,072"
6/13/2025,143.24,154.5,142.5,147.19,"16,515,242"
6/12/2025,153.7,154.8,142.5,148.97,"15,249,046"
6/11/2025,160.01,166.03,145.5,149.7,"25,772,813"
6/10/2025,156.5,158.3,149,154.9,"24,264,349"
6/9/2025,147.8,163.29,144.14,162.1,"29,451,693"
6/6/2025,144.93,148.79,138.59,140.16,"23,229,931"
6/5/2025,156,157.46,132.8,135.05,"50,952,812"
6/4/2025,155.88,166.63,144.3,163.1,"55,448,739"
6/3/2025,125.3,150.88,124.7,150.48,"53,920,713"
6/2/2025,116.3,123.66,114,120.2,"26,269,135"
5/30/2025,109,111.95,104.9,111.31,"23,532,827"
5/29/2025,123.5,130.76,105.53,105.55,"38,642,738"
5/28/2025,123.75,123.75,113,116.15,"27,833,909"
5/27/2025,109.27,125.02,107.98,123.97,"38,031,965"
5/23/2025,98,106.79,97.1,102.74,"31,097,562"
5/22/2025,112.14,116.54,99.51,100.16,"61,046,931"
5/21/2025,89.46,109.49,89.3,107.39,"61,681,570"
5/20/2025,89.67,96.35,83.31,90.24,"34,969,197"
5/19/2025,76.9,88.9,76.08,86.59,"33,360,504"
5/16/2025,68.08,84,67.55,80.3,"42,983,957"
5/15/2025,68.87,72.97,61.33,65.77,"36,202,103"
5/14/2025,66,68.5,64,67.46,"25,124,594"
5/13/2025,57.6,64.87,57.32,63.26,"10,125,907"
5/12/2025,54.3,59.44,52.9,58.49,"10,619,005"
5/9/2025,55.96,56.82,50.18,51.37,"7,948,875"
5/8/2025,54.71,55.7,52.77,55,"6,263,988"
5/7/2025,54.91,54.91,51.4,53.6,"5,979,160"
5/6/2025,49.36,54.83,49.06,54.3,"9,644,380"
5/5/2025,50.43,52.78,49.7,51.01,"6,432,301"
5/2/2025,46.94,51.82,45.8,51.57,"9,199,617"
5/1/2025,47.03,48.35,44.03,44.32,"13,001,613"
4/30/2025,41,41.51,39.5,41.3,"6,100,187"
4/29/2025,42.21,46.45,41.01,42.82,"10,493,581"
4/28/2025,42.01,43.33,39.78,42.02,"5,194,556"
4/25/2025,41.95,44.36,40.9,41.54,"8,765,611"
4/24/2025,42.55,43.5,38.8,41.77,"9,376,662"
4/23/2025,42.08,43.95,40.16,41.62,"7,651,467"
4/22/2025,36.98,39.61,36,38.51,"9,589,264"
4/21/2025,38.62,38.64,33.52,35.42,"8,116,221"
4/17/2025,41.05,41.63,38.35,39.09,"4,844,587"
4/16/2025,40.17,40.84,38.26,40.73,"7,206,790"
4/15/2025,43.56,44.74,40,40.78,"6,841,326"
4/14/2025,46.8,46.85,42.4,43.61,"4,826,992"
4/11/2025,42.5,44.88,41.02,43.75,"5,579,529"
4/10/2025,46.9,47,41.84,42.2,"9,404,305"
4/9/2025,43.73,49.88,39.12,48.77,"17,229,733"
4/8/2025,54.15,54.8,42.36,43.61,"13,657,228"
4/7/2025,43.89,52,42.16,49.85,"11,414,735"
4/4/2025,49.6,51,43.51,47.82,"14,469,569"
4/3/2025,55.39,57.65,48.26,53.8,"27,120,591"
4/2/2025,55.91,64.62,51.4,61.36,"52,666,836"
4/1/2025,38.5,53.27,37.2,52.57,"38,327,830"
3/31/2025,38.49,38.49,36,37.08,"15,194,799"
3/28/2025,39,41.94,37.46,40,"41,091,102"
